City,Total,Average Salary,lat,long
NEW YORK,39734,98640,40.750422,-73.996328
HOUSTON,16332,83716,29.813142,-95.309789
SAN FRANCISCO,15641,111954,37.784827,-122.727802
ATLANTA,12880,83348,33.844371,-84.47405
CHICAGO,12544,84744,41.811929,-87.68732
SAN JOSE,10750,108939,37.189396,-121.705327
SUNNYVALE,8516,108440,37.189396,-121.705327
IRVING,8325,75022,32.767268,-96.777626
CHARLOTTE,7488,83802,35.26002,-80.804151
MOUNTAIN VIEW,7453,125501,37.189396,-121.705327
DALLAS,7350,78900,32.781179,-96.790329
BOSTON,6798,88313,42.370567,-71.026964
REDMOND,6627,107627,47.678756,-122.121034
SEATTLE,6437,107829,47.432251,-121.803388
AUSTIN,6309,85741,30.326374,-97.771258
PHILADELPHIA,5611,92599,40.001811,-75.11787
PHOENIX,5596,80863,33.703967,-112.351835
PLANO,5575,79571,33.104885,-96.659574
SANTA CLARA,5529,108881,37.189396,-121.705327
LOS ANGELES,5377,84666,33.973951,-118.248405
JERSEY CITY,5284,91305,40.73276,-74.075485
BELLEVUE,5172,97747,47.615471,-122.207221
ALPHARETTA,4774,75027,34.112373,-84.30205
SAN DIEGO,4418,97732,32.7211,-117.174366
RICHARDSON,3921,74523,32.962811,-96.726826
PALO ALTO,3844,117952,37.189396,-121.705327
PRINCETON,3705,74522,40.343625,-74.693953
FREMONT,3607,81969,37.565285,-121.982721
WASHINGTON,3588,85997,38.911936,-77.016719
COLUMBUS,3535,78905,40.040113,-82.897222
TAMPA,3530,76607,27.996097,-82.582035
IRVINE,3417,86969,33.718018,-117.72222
PITTSBURGH,3300,81844,40.434436,-80.024817
EDISON,3043,70817,40.519753,-74.393444
PISCATAWAY,3010,73180,40.552925,-74.457746
MINNEAPOLIS,2807,84758,44.979265,-93.273024
TROY,2626,69472,42.606088,-83.297593
MIAMI,2619,79525,25.779076,-80.19782
RICHMOND,2609,81928,37.524246,-77.493157
INDIANAPOLIS,2532,78649,39.775092,-86.13216
MILPITAS,2466,96217,37.436454,-121.861989
SAN ANTONIO,2352,77975,29.399933,-98.537495
SOMERSET,2352,68901,40.491002,-74.523648
CAMBRIDGE,2342,91179,42.380442,-71.132947
WILMINGTON,2310,82544,39.727113,-75.547844
DURHAM,2281,84757,36.004307,-78.875467
CARY,2228,79147,35.751243,-78.70732
JACKSONVILLE,2220,77663,30.337538,-81.768622
BENTONVILLE,2216,72968,36.347107,-94.223419
BLOOMINGTON,2176,78255,40.462041,-88.850396
HERNDON,2150,81007,38.983887,-77.367457
SCHAUMBURG,2136,75108,41.811929,-87.68732
CINCINNATI,2118,81413,39.166759,-84.53822
PLEASANTON,2108,87711,37.646081,-121.862128
MC LEAN,2010,89403,38.935202,-77.18672
FRISCO,2004,71520,33.152222,-96.796437
CUPERTINO,1995,133069,37.189396,-121.705327
BROOKLYN,1988,79370,40.694481,-73.989319
RESTON,1959,85076,38.96146,-77.3418
AUBURN HILLS,1903,78194,42.660091,-83.3863
HARTFORD,1870,83351,41.78007,-72.677099
BALTIMORE,1869,82603,39.296536,-76.623489
SAN RAMON,1869,91007,37.768556,-121.975531
MILWAUKEE,1846,81174,43.011264,-87.958409
MENLO PARK,1832,128958,37.439616,-122.186373
DUBLIN,1827,74364,39.969036,-83.011389
REDWOOD CITY,1746,109518,37.381144,-122.334825
DETROIT,1717,81140,42.239933,-83.150823
FORT WORTH,1664,83561,32.771419,-97.291484
SALT LAKE CITY,1604,77705,40.756095,-111.900719
NASHVILLE,1594,76230,36.165688,-86.778098
RALEIGH,1593,80992,35.773755,-78.604175
FARMINGTON,1527,71268,42.505138,-83.407233
STAMFORD,1521,96250,41.054082,-73.536216
OMAHA,1492,79228,41.291736,-96.171104
DEARBORN,1491,81608,42.310037,-83.177625
HILLSBORO,1473,89391,45.458397,-122.977963
MADISON,1462,76599,43.06956,-89.423861
WALTHAM,1409,88901,42.398588,-71.24505
PORTLAND,1379,79834,45.498931,-122.693157
WOODLAND HILLS,1372,76590,33.786594,-118.298662
SAN MATEO,1370,110534,37.573485,-122.32253
LOUISVILLE,1365,74724,38.188962,-85.676819
SAINT LOUIS,1346,79582,38.631501,-90.19231
DENVER,1335,87000,39.726303,-104.856808
EL SEGUNDO,1296,87688,33.786594,-118.298662
SOUTH PLAINFIELD,1278,67914,40.572065,-74.413545
PARSIPPANY,1259,86596,40.852118,-74.407706
MEMPHIS,1220,78797,35.169255,-89.990415
ENGLEWOOD,1199,83492,39.648958,-104.973852
ISELIN,1179,72378,40.569211,-74.315042
COLUMBUS,1169,78458,39.191447,-85.891338
BOTHELL,1168,88120,47.750689,-122.214376
ORLANDO,1163,78940,28.545179,-81.373291
CLEVELAND,1161,83481,41.523401,-81.599648
