state,2017,2016,2015,2014,2013
Alaska,162,139,140,189,198
Alabama,1471,1725,1595,1504,1205
Arkansas,2429,3042,2767,2116,2180
Arizona,8353,8611,7776,6478,5604
California,99770,100902,97857,82999,70418
Colorado,5558,5356,5670,4782,4013
Connecticut,7076,9024,9185,7990,6435
District of Columbia,3507,3447,3462,3131,3029
Delaware,2997,3065,3376,2742,2682
Florida,18659,18340,17945,15288,13036
Georgia,19824,22068,20521,15939,12294
Guam,291,290,434,225,249
Hawaii,412,390,430,448,495
Iowa,2652,2496,2814,2775,2212
Idaho,759,755,648,521,491
Illinois,28125,30915,29239,24098,21293
Indiana,5228,5380,5291,4621,3412
Kansas,2378,2434,2288,2080,1924
Kentucky,2363,2331,2206,1940,1665
Louisiana,1613,1847,2212,1548,1387
Massachusetts,21382,21325,20094,16881,14117
Maryland,9042,9320,9268,8102,6733
Maine,590,616,654,659,578
Michigan,17363,18253,15993,12045,9976
Minnesota,9167,8870,9031,8078,6454
Missouri,6958,6823,6189,5346,4366
Northern Mariana Islands ,263,110,57,98,42
Mississippi,637,695,639,571,551
Montana,153,151,163,109,112
North Carolina,14889,16395,15521,11884,10392
North Dakota,383,450,466,423,384
Nebraska,1847,1757,1523,1417,1178
New Hampshire,1250,1665,1772,1443,1379
New Jersey,36787,42857,43137,32950,26059
New Mexico,735,914,868,754,692
Nevada,1189,1093,1065,953,864
New York,44568,47902,44600,39499,34216
Ohio,13600,14647,14403,12162,10325
Oklahoma,1479,1745,1798,1589,1360
Oregon,4023,4039,4110,3970,3239
Pennsylvania,18679,20978,19996,17036,14672
Puerto Rico,525,151,181,164,152
Rhode Island,2148,2233,2657,2048,1640
South Carolina,2488,2489,2413,1800,1436
South Dakota,251,290,335,249,215
Tennessee,6005,4910,4529,3940,3507
Texas,57069,58962,54339,44522,35955
Utah,2557,2445,2386,1999,1608
Virginia,15449,16503,16781,13369,11161
Virgin Islands,44,51,69,82,62
Vermont,355,308,310,312,232
Washington,21907,19714,18644,15112,13074
Wisconsin,5717,6233,6257,4987,4511
West Virginia,392,467,478,346,371
Wyoming,100,91,108,103,88
